ax1,ay1,az1,gx1,gy1,gz1,mx1,my1,mz1,ax2,ay2,az2,gx2,gy2,gz2,mx2,my2,mz2
-0.00,0.00,1.00,-0.07,0.10,-0.07,-26027.95,180.26,-66.21,-0.00,-0.00,1.00,-0.17,0.01,0.09,-41273.10,231.91,-30.57
-0.00,0.00,1.00,0.01,0.14,0.12,35.86,26.06,-40.28,0.00,-0.00,1.00,-0.14,0.06,0.07,89.98,7.15,-26.00
-0.00,0.00,1.00,-0.14,0.06,0.05,35.86,26.06,-40.28,0.00,-0.00,1.00,-0.11,0.05,-0.02,89.98,10.74,-26.00
0.00,0.00,1.00,-0.09,0.02,0.01,35.86,26.06,-40.28,0.00,-0.00,1.00,-0.19,0.03,0.02,89.98,10.74,-26.00
-0.00,0.00,1.00,0.00,0.02,0.00,39.63,14.33,-69.45,0.00,-0.00,1.00,-0.10,0.04,0.02,89.98,10.74,-26.00
0.00,0.00,1.00,-0.15,0.05,0.00,39.63,14.33,-69.45,0.00,-0.00,1.00,-0.11,0.08,0.01,89.98,10.74,-26.00
0.00,0.00,1.00,-0.04,0.07,0.02,39.63,14.33,-69.45,0.00,-0.00,1.00,-0.08,0.11,0.09,87.89,16.14,-18.39
-0.00,0.00,1.00,-0.02,0.14,0.07,38.37,19.36,-46.76,-0.00,0.00,1.00,-0.08,0.02,0.03,87.89,16.14,-18.39
0.00,0.00,1.00,0.04,0.12,-0.02,38.37,19.36,-46.76,-0.00,-0.00,1.00,-0.14,0.07,-0.01,87.89,16.14,-18.39
-0.00,0.00,1.00,-0.14,0.06,0.09,38.37,19.36,-46.76,0.00,-0.00,1.00,-0.07,0.12,0.07,71.16,1.75,-30.57
0.00,0.00,1.00,-0.03,0.08,0.08,38.37,19.36,-46.76,0.00,0.00,1.00,-0.08,0.04,0.09,71.16,1.75,-30.57
0.00,0.00,1.00,-0.05,0.05,0.01,29.57,24.38,-43.52,0.00,-0.00,1.00,-0.18,0.09,0.08,71.16,1.75,-30.57
-0.00,0.00,1.00,-0.02,0.03,0.05,29.57,24.38,-43.52,-0.00,0.00,1.00,-0.05,0.02,-0.02,94.16,10.74,-19.92
0.00,0.00,1.00,-0.11,0.03,0.04,29.57,24.38,-43.52,0.00,-0.00,1.00,-0.13,0.06,0.02,94.16,10.74,-19.92
0.00,0.00,1.00,-0.17,0.08,0.02,34.60,10.97,-75.94,0.00,-0.00,1.00,0.00,0.06,0.06,94.16,10.74,-19.92
0.00,0.00,1.00,-0.15,0.13,0.07,34.60,10.97,-75.94,0.00,0.00,1.00,-0.16,0.05,-0.01,94.16,10.74,-19.92
-0.00,0.00,1.00,0.00,0.05,-0.02,34.60,10.97,-75.94,0.00,-0.00,1.00,-0.07,0.08,-0.02,94.16,10.74,-19.92
-0.00,0.00,1.00,-0.02,0.11,-0.03,35.86,26.06,-33.80,0.00,-0.00,1.00,-0.20,0.14,0.04,94.16,10.74,-19.92
-0.00,0.00,1.00,-0.02,0.11,-0.03,35.86,26.06,-33.80,0.00,-0.00,1.00,-0.18,0.02,0.04,83.71,5.35,-21.44
0.00,0.00,1.00,-0.11,0.07,-0.01,35.86,26.06,-33.80,-0.00,-0.00,1.00,-0.14,0.04,0.03,83.71,5.35,-21.44
0.00,0.00,1.00,-0.04,0.07,0.06,33.34,29.41,-72.70,-0.00,-0.00,1.00,-0.08,0.04,0.05,83.71,5.35,-21.44
-0.00,0.00,1.00,-0.05,0.08,0.02,33.34,29.41,-72.70,0.00,-0.00,1.00,-0.11,0.02,-0.04,83.71,5.35,-21.44
-0.00,0.00,1.00,-0.05,0.02,0.02,33.34,29.41,-72.70,0.00,-0.00,1.00,-0.12,0.05,-0.02,79.52,5.35,-24.48
-0.00,0.00,1.00,-0.05,0.06,0.00,27.06,21.03,-62.97,0.00,-0.00,1.00,0.00,0.02,0.10,79.52,5.35,-24.48
-0.00,0.00,1.00,-0.05,0.08,-0.05,27.06,21.03,-62.97,-0.00,-0.00,1.00,-0.09,0.04,-0.11,79.52,5.35,-24.48
-0.00,0.00,1.00,-0.04,0.00,0.04,27.06,21.03,-62.97,0.00,-0.00,1.00,-0.14,0.08,-0.04,85.80,25.13,-29.05
